location,waypoint
LOT22,wp9
LOT22,wp10
LOT22,wp11
LOT22,wp12
AH,wp12
LOT29,wp16
WALKE,wp23
WALKO,wp23
LOT21,wp24
LOT21,wp25
LOT21,wp26
BCPD,wp32
BS12,wp33
900,wp33
LOT31,wp33
LOT31,wp35
LOT31,wp36
LOT20,wp52
LOT20,wp53
LOT20,wp55
LOT20,wp56
LOT20,wp57
LOT20,wp58
LOT20,wp59
LOT23,wp70
BS9,wp71
BS9,wp72
LOT23,wp72
LOT23,wp73
LOT24,wp74
BS7,wp77
BS8,wp78
TRC,wp82
LOT25,wp82
FMGMT,wp89
LOT26,wp89
SLOT,wp92
BS6,wp92
BS6,wp93
SLOT,wp95
SLOT,wp99
SLOT,wp101
SLOT,wp103
SLOT,wp104
SLOT,wp105
SLOT,wp106
SLOT,wp107
WARE,wp107
LOT27,wp108
LOT27,wp109
CEIA,wp117
LOT28,wp123
LOT28,wp126
STAD,wp135
BASE,wp135
SOFT,wp135
ATHL,wp135
BS3,wp154
BS1,wp160
BS1,wp161
ADMIN-G,wp161
ADMIN-G,wp163
BS2,wp173
BS2,wp176
LOT9,wp185
LOT9,wp186
LOT9,wp187
LOT9,wp188
LOT9,wp189
FA,wp197
BS13,wp202
LOT8,wp204
LOT8,wp205
PAHB,wp215
PAHB,wp216
PAHB,wp222
ITE,wp229
ENGN,wp235
ENGN,wp236
FA,wp241
BS13,wp242
LOT8,wp244
LOT8,wp252
LOT8,wp253
LOT8,wp254
LOT8,wp255
LOT8,wp256
SA2,wp257
LOT8,wp262
CARD,wp262
LOT8,wp263
UMBCPD,wp264
LOT8,wp264
CARD,wp265
LOT8,wp265
BS11,wp270
GREE,wp273
GREE,wp276
LOT10,wp277
WALK-G,wp279
LOT10,wp279
WALK-G,wp284
LOT7,wp290
LOT7,wp293
LOT7,wp294
LOT7,wp295
LOT7,wp305
LOT24,wp307
LOT24,wp308
BS8,wp309
BS11,wp324
BS10,wp335
BS10,wp336
JBSP,wp343
JBSP,wp344
COMM-G,wp345
COMM-G,wp346
COMM-G,wp347
COMM-G,wp348
LOT12,wp350
SATE,wp350
LOT12,wp351
SATE,wp351
RECC,wp355
RECC,wp356
LOT11,wp357
TGRIT,wp362
POT,wp366
PTAP,wp369
PTAP,wp373
LOT12,wp375
LOT12,wp376
POT,wp377
PTAP,wp390
PTAP,wp394
PTAP,wp397
TGRIT,wp400
BS3,wp406
COMM-G,wp409
LOT2,wp412
LOT2,wp413
LOT2,wp414
BS4,wp417
BS4,wp419
LOT1,wp420
LOT1,wp421
LOT1,wp422
LOT1,wp423
SA1,wp424
SA1,wp425
LOT3,wp426
LOT3,wp428
LOT3,wp431
LOT3,wp433
LOT3,wp434
BS5,wp435
LOT3,wp436
LOT3,wp437
BS5,wp438
LOT4,wp445
LOT4,wp446
LOT4,wp449
LOT4,wp450
LOT2,wp454
LOT2,wp456
LOT4,wp459
LOT4,wp460
LOT4,wp461
PUB,wp462
PHYS,wp463
PUB,wp465
SUS,wp470
SUS,wp471
CFWB,wp474
LOT11,wp482
CHES,wp487
CHES,wp491
HARB,wp497
HARB,wp498
LOT5,wp502
LOT5,wp503
LOT5,wp506
LOT5,wp508
LOT5,wp509
PRES,wp510
ADMIN,wp517
SHERH,wp520
UC,wp520
BRE,wp524
SDL,wp526
SDL,wp528
MAN,wp529
CAS,wp530
BRE,wp530
POC,wp531
POC,wp533
MAN,wp534
BRE,wp538
DPC,wp541
DPC,wp542
DPC,wp543
CAS,wp549
PTX,wp551
PTX,wp553
WIC,wp555
WIC,wp558
ELK,wp565
ELK,wp571
ERIC,wp578
ANT,wp591
SAS,wp593
CHI,wp597
CHI,wp600
TUC,wp605
MON,wp607
SAS,wp610
ERIC,wp612
TUC,wp615
MON,wp617
LOT6,wp619
GUN,wp620
GUN,wp623
NAN,wp625
LOT6,wp628
NAN,wp629
ACC,wp630
ACC,wp632
LOT6,wp634
LOT6,wp636
CHS,wp638
CHS,wp639
CHS,wp642
CHS,wp643
WYE,wp644
WYE,wp646
WYE,wp648
WYE,wp649
CHO,wp651
TAN,wp651
CHO,wp652
TAN,wp652
TAN,wp654
MAG,wp654
MAG,wp655
TAN,wp655
WALK-G,wp657
POND,wp663
POND,wp664
POND,wp674
POND,wp675
FA,wp682
CHEM,wp687
CHEM,wp690
FA,wp690
CHEM,wp691
FA,wp691
ENGN,wp693
FA,wp693
ENGN,wp696
UC,wp696
ITE,wp698
ENGN,wp698
ITE,wp701
SHERH,wp701
ITE,wp702
SHERH,wp702
UC,wp703
CHEM,wp703
UCP,wp706
CHEM,wp707
BIO,wp708
BIO,wp709
MAPS,wp709
MAPS,wp711
LH1,wp715
LH1,wp716
COMM,wp717
LH1,wp718
UCP,wp723
MAPS,wp724
SHERH,wp726
SONDH,wp726
SHERH,wp727
SONDH,wp727
ADMIN,wp728
RAC,wp729
SONDH,wp730
SONDH,wp735
MAPS,wp735
SONDH,wp737
MAPS,wp737
QUAD,wp739
ILSB,wp742
COMM,wp744
COMM,wp745
ILSB,wp747
COMM-G,wp749
COMM-G,wp750
COMM-G,wp751
PHYS,wp755
PHYS,wp756
PHYS,wp757
AOK,wp764
COMM,wp771
COMM,wp778
TC,wp780
ADMIN-G,wp785
ADMIN-G,wp786
ADMIN-G,wp787
WALKE,wp788
PUB,wp789
WALKC,wp792
WALKW,wp792
ANT,wp798
