id,latitude,longitude,open,accessible
wp1,39.2529522,-76.71495949,TRUE,TRUE
wp2,39.2548508,-76.7164333,TRUE,TRUE
wp3,39.2552566,-76.71667775,TRUE,TRUE
wp4,39.25574785,-76.71677629,TRUE,TRUE
wp5,39.25600407,-76.71669783,TRUE,TRUE
wp6,39.25618744,-76.71668933,TRUE,TRUE
wp7,39.25636878,-76.71660078,TRUE,TRUE
wp8,39.25644772,-76.71691416,TRUE,TRUE
wp9,39.25677207,-76.7169633,TRUE,FALSE
wp10,39.25691703,-76.71823845,TRUE,TRUE
wp11,39.25698669,-76.71845732,TRUE,TRUE
wp12,39.25806939,-76.71803632,TRUE,TRUE
wp13,39.25696269,-76.71602972,TRUE,TRUE
wp14,39.25752704,-76.71548924,TRUE,TRUE
wp15,39.25763533,-76.71538389,TRUE,TRUE
wp16,39.2577559,-76.71558433,TRUE,TRUE
wp17,39.25825774,-76.71477336,TRUE,TRUE
wp18,39.2584422,-76.71459996,TRUE,TRUE
wp19,39.25852322,-76.7144498,TRUE,TRUE
wp20,39.25870433,-76.71423019,TRUE,TRUE
wp21,39.25889596,-76.71410399,TRUE,TRUE
wp22,39.25902064,-76.71423177,TRUE,TRUE
wp23,39.2588382,-76.71441126,TRUE,TRUE
wp24,39.25930136,-76.71466795,TRUE,TRUE
wp25,39.25936916,-76.71478977,TRUE,TRUE
wp26,39.25961847,-76.71529348,TRUE,TRUE
wp27,39.25967428,-76.71539693,TRUE,TRUE
wp28,39.25978855,-76.71560717,TRUE,TRUE
wp29,39.25990868,-76.71584094,TRUE,TRUE
wp30,39.25996455,-76.71594739,TRUE,TRUE
wp31,39.25992798,-76.71597962,TRUE,TRUE
wp32,39.2599345,-76.71605815,TRUE,TRUE
wp33,39.25992995,-76.71546528,TRUE,TRUE
wp34,39.25985715,-76.71533468,TRUE,TRUE
wp35,39.25946205,-76.71466102,TRUE,TRUE
wp36,39.2593665,-76.71456483,TRUE,TRUE
wp37,39.25931933,-76.71451042,TRUE,TRUE
wp38,39.25911567,-76.71413981,TRUE,TRUE
wp39,39.25904215,-76.71395515,TRUE,TRUE
wp40,39.25906518,-76.71378246,TRUE,TRUE
wp41,39.25920231,-76.71352614,TRUE,TRUE
wp42,39.25927637,-76.71346328,TRUE,TRUE
wp43,39.25930487,-76.71340258,TRUE,TRUE
wp44,39.25941699,-76.71317289,TRUE,TRUE
wp45,39.2595939,-76.7132734,TRUE,TRUE
wp46,39.25967666,-76.71341639,TRUE,TRUE
wp47,39.25989476,-76.71375834,TRUE,TRUE
wp48,39.25987762,-76.71388565,TRUE,TRUE
wp49,39.25982381,-76.7139516,TRUE,TRUE
wp50,39.25999288,-76.71375159,TRUE,TRUE
wp51,39.26010404,-76.71381532,TRUE,TRUE
wp52,39.26027737,-76.71411651,TRUE,TRUE
wp53,39.2602178,-76.71401491,TRUE,TRUE
wp54,39.25729025,-76.71931572,TRUE,TRUE
wp55,39.26033589,-76.71398941,TRUE,TRUE
wp56,39.26045894,-76.71419839,TRUE,TRUE
wp57,39.2605526,-76.71436261,TRUE,TRUE
wp58,39.26064414,-76.7145227,TRUE,TRUE
wp59,39.2607477,-76.71469132,TRUE,TRUE
wp60,39.26008424,-76.71366419,TRUE,TRUE
wp61,39.25997147,-76.7136156,TRUE,TRUE
wp62,39.25991232,-76.71347252,TRUE,TRUE
wp63,39.25983847,-76.7133446,TRUE,TRUE
wp64,39.25977828,-76.71330904,TRUE,TRUE
wp65,39.25968629,-76.7131729,TRUE,TRUE
wp66,39.25950425,-76.71304079,TRUE,TRUE
wp67,39.25965287,-76.71259762,TRUE,TRUE
wp68,39.25980244,-76.71191367,TRUE,TRUE
wp69,39.25526648,-76.70560106,TRUE,FALSE
wp70,39.25521453,-76.70546762,TRUE,TRUE
wp71,39.25461179,-76.70581544,TRUE,TRUE
wp72,39.2543627,-76.70522018,TRUE,TRUE
wp73,39.25427502,-76.70511172,TRUE,TRUE
wp74,39.25423756,-76.70488613,TRUE,FALSE
wp75,39.25387836,-76.7044458,TRUE,TRUE
wp76,39.25375084,-76.70422494,TRUE,TRUE
wp77,39.25258537,-76.70255846,TRUE,TRUE
wp78,39.25286003,-76.70275528,TRUE,TRUE
wp79,39.25333937,-76.70229183,TRUE,TRUE
wp80,39.2536425,-76.70218157,TRUE,TRUE
wp81,39.25394508,-76.70222824,TRUE,TRUE
wp82,39.25438146,-76.70254003,TRUE,TRUE
wp83,39.25379599,-76.70454523,TRUE,TRUE
wp84,39.2537851,-76.70465864,TRUE,TRUE
wp85,39.25448826,-76.70617816,TRUE,TRUE
wp86,39.25360395,-76.70484814,TRUE,TRUE
wp87,39.2535251,-76.70481676,TRUE,TRUE
wp88,39.25341933,-76.7046772,TRUE,TRUE
wp89,39.25320735,-76.70475946,TRUE,TRUE
wp90,39.25388402,-76.70476022,TRUE,TRUE
wp91,39.25415837,-76.70518332,TRUE,TRUE
wp92,39.25421122,-76.70535581,TRUE,TRUE
wp93,39.25437549,-76.70577025,TRUE,TRUE
wp94,39.25444429,-76.7059408,TRUE,TRUE
wp95,39.25423548,-76.70590066,TRUE,TRUE
wp96,39.25439615,-76.70599556,TRUE,TRUE
wp97,39.25399888,-76.70638559,TRUE,TRUE
wp98,39.25367789,-76.70670875,TRUE,TRUE
wp99,39.25368399,-76.70647286,TRUE,TRUE
wp100,39.25357921,-76.7065613,TRUE,TRUE
wp101,39.25349388,-76.70665081,TRUE,TRUE
wp102,39.25356748,-76.7068284,TRUE,TRUE
wp103,39.25339137,-76.70675502,TRUE,TRUE
